import time: self [us] | cumulative | imported package
import time:       158 |        158 | winreg
import time:       284 |        284 |   _io
import time:        40 |         40 |   marshal
import time:       191 |        191 |   nt
import time:       499 |       1012 | _frozen_importlib_external
import time:       519 |        519 |   time
import time:       192 |        710 | zipimport
import time:        71 |         71 |     _codecs
import time:       411 |        481 |   codecs
import time:      2957 |       2957 |   encodings.aliases
import time:      2364 |       5801 | encodings
import time:      1155 |       1155 | encodings.utf_8
import time:      1120 |       1120 | encodings.cp1252
import time:        61 |         61 | _signal
import time:        37 |         37 |     _abc
import time:       191 |        227 |   abc
import time:       181 |        408 | io
import time:        70 |         70 |       _stat
import time:       108 |        177 |     stat
import time:       831 |        831 |     _collections_abc
import time:        36 |         36 |       genericpath
import time:        78 |         78 |       _winapi
import time:       452 |        564 |     ntpath
import time:       337 |       1908 |   os
import time:        73 |         73 |   _sitebuiltins
import time:      2977 |       2977 |   _distutils_hack
import time:       298 |        298 |   sitecustomize
import time:       207 |        207 |   usercustomize
import time:      1383 |       6844 | site
import time:      1115 |       1115 |     backend
import time:      1161 |       2275 |   backend.app
import time:      1152 |       1152 |         types
import time:       102 |        102 |           _operator
import time:      1209 |       1310 |         operator
import time:       148 |        148 |             itertools
import time:       865 |        865 |             keyword
import time:      1065 |       1065 |             reprlib
import time:       290 |        290 |             _collections
import time:      2277 |       4642 |           collections
import time:       102 |        102 |           _functools
import time:      1912 |       6656 |         functools
import time:      3135 |      12251 |       enum
import time:        90 |         90 |         _sre
import time:       852 |        852 |           re._constants
import time:      1090 |       1942 |         re._parser
import time:       936 |        936 |         re._casefix
import time:      1972 |       4939 |       re._compiler
import time:       942 |        942 |       copyreg
import time:      1564 |      19694 |     re
import time:       929 |        929 |       collections.abc
import time:      1564 |       1564 |           token
import time:      1934 |       3497 |         tokenize
import time:       824 |       4321 |       linecache
import time:      1887 |       1887 |       textwrap
import time:      1432 |       1432 |       contextlib
import time:      1395 |       9961 |     traceback
import time:      1101 |       1101 |     warnings
import time:      1375 |       1375 |       _weakrefset
import time:      1236 |       2611 |     weakref
import time:        64 |         64 |       _string
import time:      1579 |       1642 |     string
import time:      1470 |       1470 |     threading
import time:        60 |         60 |     atexit
import time:      2850 |      39387 |   logging
import time:       137 |        137 |       _typing
import time:      3779 |       3916 |     typing
import time:       338 |        338 |             posix
import time:       116 |        453 |           posixpath
import time:       861 |       1314 |         fnmatch
import time:        84 |         84 |         errno
import time:       994 |        994 |           urllib
import time:      2160 |       2160 |           ipaddress
import time:      2560 |       5714 |         urllib.parse
import time:      1556 |       8665 |       pathlib
import time:       111 |        111 |         zlib
import time:       909 |        909 |           _compression
import time:      1616 |       1616 |           _bz2
import time:      1171 |       3694 |         bz2
import time:       802 |        802 |           _lzma
import time:      1043 |       1844 |         lzma
import time:      1615 |       7264 |       shutil
import time:        82 |         82 |           math
import time:        58 |         58 |             _bisect
import time:       832 |        889 |           bisect
import time:        42 |         42 |           _random
import time:        35 |         35 |           _sha512
import time:      1281 |       2327 |         random
import time:      1207 |       3534 |       tempfile
import time:      2289 |       2289 |       dotenv.parser
import time:      2288 |       2288 |       dotenv.variables
import time:      2527 |      26565 |     dotenv.main
import time:      1424 |      31904 |   dotenv
import time:      1847 |       1847 |     starlette
import time:       890 |        890 |       __future__
import time:      1228 |       2118 |     starlette.status
import time:       847 |        847 |         annotated_doc.main
import time:       980 |       1827 |       annotated_doc
import time:      1484 |       1484 |           email
import time:       111 |        111 |           binascii
